sentence,target,polarity
"Perdue, 70, served on Trump's agricultural advisory committee during his presidential campaign.",Trump,4.0
"His nomination, which must be confirmed by the Republican-led Senate, will complete Trump's proposed cabinet just two days before he is sworn in as president on Friday.",he,4.0
"Obama did the second, but it didn’t go in the way reformers would like — it’s resulted in thousands of rejections.",Obama,2.0
"Obama did the second, but it didn’t go in the way reformers would like — it’s resulted in thousands of rejections.",it,2.0
"Manning was known as Bradley Manning at the time of her 2010 arrest, but revealed after being convicted of espionage that she identifies as a woman.",she,4.0
WILL WIKILEAKS’ JULIAN ASSANGE MAKE GOOD ON HIS OFFER TO TURN HIMSELF IN AFTER MANNING CLEMENCY?,MANNING,6.0
“Chelsea Manning’s treachery put American lives at risk and exposed some of our nation’s most sensitive secrets.,Manning,2.0
"“My hope would be that the president-elect will reach out to someone as consequential and who is such a leader as John Lewis — who has done so much in the course of his life — to try to work this out,” Mr. McDonough said on CNN’s “State of the Union.”",John Lewis,6.0
"“None of us actually want to be considered to be racially insensitive, and so it’s a very, very important subject, but I think we shouldn’t ignore that people are partisan,” said Mr. Paul.",Mr. Paul,4.0
"Mr. Neal added that while other presidents, like Ronald Reagan and Bill Clinton, may have imposed policies that hurt black communities, they were more sensitive to issues of race.",Mr. Neal,4.0
"“Try getting a 3- or 4-year-old today to sit for 12 minutes,” he added, referring to the show’s 12-minute tiger act.",he,4.0
Juliette Feld says the company will continue operating the Center for Elephant Conservation.,the company,4.0
"""There isn't any one thing,"" said Kenneth Feld, chairman and CEO of Feld Entertainment.",Feld Entertainment,4.0
"“We will continue on the path of reform, because that is the path of progress,” he said.",he,4.0
Mr. Sessions has vehemently denied making racially insensitive statements or holding racist views.,Mr. Sessions,2.0
"I have witnessed it,” Mr. Sessions plans to tell the Senate Judiciary Committee, according to his prepared opening remarks.",Mr. Sessions,4.0
"As Tanner puts it, Sessions “has a record that ought to worry believers in small government and individual liberty.”",Sessions,2.0
"Mr. Trump, as he has done many times before, grew heated in the interview as he flatly denied that he had intended to make fun of the Times reporter, Serge F. Kovaleski.",he,2.0
"Mr. Trump, as he has done many times before, grew heated in the interview as he flatly denied that he had intended to make fun of the Times reporter, Serge F. Kovaleski.",Mr. Trump,2.0
"[ Read Meryl Streep’s Golden Globes speech ] The Globes were the last high-profile Hollywood event before Mr. Trump’s inauguration on Jan. 20, a transfer of power that many in the entertainment industry have bemoaned.",Meryl Streep’s,4.0
"Top aide to Donald Trump Kellyanne Conway told ""Fox and Friends"" Monday she's ""concerned that somebody with a platform like Meryl Streep's is inciting people's worst instincts.""",Meryl Streep's,2.0
"Her comments were met with applause, tears and support by her fellow actors in the audience, and actor Chris Pine called her speech the ""best message of tonight.""",Her,6.0
"Shortly after the 74th annual Golden Globes wrapped, where ""La La Land"" and ""Moonlight"" were the night’s big winners, Trump told the NY Times he had not seen the show or Streep's remarks.",Streep,4.0
"Conway noted the races of those involved, four African-American suspects and a white victim, and said that if Streep is truly concerned about the disabled community, she should speak out about the incident in Chicago.",Streep,2.0
"“At this point, it looks like he acted alone,” Sheriff Israel said, adding it was too early to speculate on the gunman’s motive for carrying out the shooting.",Sheriff Israel,4.0
"Santiago’s weapon was logged “for safekeeping,” Tolley said.",Tolley,4.0
"A day after the shooting, agents had interviewed more than 100 people, including Santiago, who surrendered after firing all of his ammunition by dropping onto the floor, spread-eagle, near a baggage area when a sheriff’s deputy approached him, according to an FBI affidavit.",FBI,4.0
"A day after the shooting, agents had interviewed more than 100 people, including Santiago, who surrendered after firing all of his ammunition by dropping onto the floor, spread-eagle, near a baggage area when a sheriff’s deputy approached him, according to an FBI affidavit.",Santiago,2.0
"Director of National Intelligence James R. Clapper testified to Congress Thursday he’s confident Russia was behind the campaign season hacks of Democratic officials, but Mr. Trump has consistently been skeptical of Russian involvement.",Mr. Trump,2.0
"Director of National Intelligence James R. Clapper testified to Congress Thursday he’s confident Russia was behind the campaign season hacks of Democratic officials, but Mr. Trump has consistently been skeptical of Russian involvement.",Russia,2.0
"Mr. Trump claimed on New Year’s Eve that he had information no one else had on Russian hacking and that he would reveal it publicly this week, but he has not yet followed through on that statement.",Mr. Trump,2.0
"Mr. Trump claimed on New Year’s Eve that he had information no one else had on Russian hacking and that he would reveal it publicly this week, but he has not yet followed through on that statement.",Russian,2.0
"In new tweets early Thursday, Trump backed away from Assange somewhat.",Assange,4.0
"He blamed the ""dishonest media"" for portraying him as agreeing with Assange.",He,2.0
"He blamed the ""dishonest media"" for portraying him as agreeing with Assange.",Assange,2.0
Clapper: Trump rhetoric on intel agencies alarming U.S. allies,Clapper,4.0
"Perhaps sensitive to the public perception, Trump on Thursday tried to walk back his previous online comments.",Thursday,4.0
"Perhaps sensitive to the public perception, Trump on Thursday tried to walk back his previous online comments.",Trump,2.0
Even Director of National Intelligence James Clapper seemed to implicitly rebuke Trump's ongoing refusal to believe the government's assessment that senior Moscow officials orchestrated a cyber campaign that roiled the Democratic Party in last year's election.,Trump,2.0
"Putin, it seems, is willing simply to wait until Trump moves into the Oval Office.",Putin,4.0
“This will not deter Putin from interfering in French or German elections in 2017.”,Putin,2.0
Mr. Putin condemned the new round of sanctions President Obama imposed against Russia for allegedly using computer hacking to interfere with the U.S. presidential election.,Russia,2.0
"In a statement, the German foreign minister, Frank-Walter Steinmeier, praised Mr. Kerry’s speech as a “passionate and deeply convincing” defense of “the only credible way” to solve the issue: a two-state solution.",Mr. Kerry,6.0
Obama came into office with one foreign-policy lodestar – Not George Bush – and has stuck with it mulishly no matter how much the facts on the ground demanded flexibility.,Obama,2.0
"And so, when Syrian strongman Bashar al-Assad massacred up to 400,000 people by dropping barrel bombs on civilian neighborhoods, shelling hospitals, and imposing sieges of cities to starve out the inhabitants, the Obama administration stood very, very idly by.",Obama,2.0
